"uniqueid","date","variable","parameter","unit","level","leaf.area.missing","tree","HHMMSS","Obs","YYYYMMDD","DOY","EBal.","Area","StmRat","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","n","FTime","CsMchSD","HsMchSD","CrMchSD","HrMchSD","BLC_1","fda","Photo","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","CTleaf","SVTleaf","h2o_i","h2odiff","CTair","SVTair","CndTotal","vp_kPa","VpdA","BLCond","Cond","CndCO2","Ci","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","Trmmol","VpdL","Site","Date","Time","Initials","Taxon","Notes","Plot","DatePhoto","Tag","TimeStart","index","DateSampled","DateMeasured","Treatment","Chamber","curveID","Campaign","chamber_leaf_area"
"plipo6",NA,"Coolers:","Tblock","C",22,FALSE,NA,"11:35:57",70.5,NA,NA,0,6,1,21.022,18.902,22.13,400.04,388.266,9.4316,12.7201,26.51,35.754,499.98,1500,60.4,70.25,-3.46,0.166,1,-0.22,2.74,1,0,0.16,111115,15,1983.75,NA,NA,NA,NA,1.42,1.75345953703631,18.3775471194521,0.00584054399868599,292.052,294.172,240,0.0649515436191657,18.902,2.19173105655598,31.1990185986617,18.4789185986617,19.962,2.34109702780719,0.309124649571911,0.893587025,1.44751000280719,2.84,0.346881576420784,0.196273949058576,284.622227135024,19.9947114562355,0.733059889193816,46.0326388824553,379.530194150965,0.0222898364919375,5.84054399868599,1.29814403155598,"Pfeiler","2015-06-29",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 09:59:00",NA,NA,NA,NA,NA,309,"RMBL_2015",2.851391717
"pbchan1",NA,"Coolers:","Tblock","C",23,FALSE,NA,"10:22:26",70.5,NA,NA,0,6,1,21.284,18.666,23.11,400.807,380.158,9.1268,13.9006,24.589,37.451,500,1499,28,68.43,-2.3,0.176,1,-0.22,2.74,1,0,0.16,111115,15,2883.75,NA,NA,NA,NA,1.42,0.861583642878653,16.2051988547299,0.00417100751365536,291.816,294.434,239.84,1.00736305155531,18.666,2.15963676509097,31.5597949012271,17.6591949012271,19.975,2.34298275692619,0.230825910471519,0.951218058,1.39176469892619,2.84,0.25124640564603,0.145971658981915,259.996019939294,17.7915276444459,0.683915671929376,47.397430037529,372.454824488069,0.0206222374065296,4.17100751365536,1.20841870709097,"Painter Boy","2015-07-02",NA,NA,"Chamerion angustifolium","Not yet flowering. Leaf filled basically the entire chamber, even though I cut into pieces (didn't entirely fill but difference likely negligable).",NA,NA,NA,"1899-12-31 08:30:00",NA,NA,NA,NA,NA,288,"RMBL_2015",5.80326709
"pcup2",NA,"Coolers:","Tblock","C",12,FALSE,NA,"13:25:49",25.5,NA,NA,0,6,1,13.73,18.51,11.94,399.379,381.807,3.4788,8.4209,15.507,37.532,487.8,1498.3,157.5,70.28,-1.14,0.322,0.85,-0.22,2.74,1,0,0.16,111215,15,2117.25,NA,NA,NA,NA,1.42,0.813,12.7389352345983,0.00405204920154141,291.66,286.88,239.728,0.133500770658074,18.51,2.13864881091402,30.4304042531875,22.0095042531875,16.12,1.83873156196488,0.180528170018187,0.591820852,1.24691070996488,2.84,0.192782641467539,0.113870616074504,258.541733552909,18.1703130340985,0.677153134007765,30.9284716849358,375.75152022299,0.0104855405265869,4.05204920154141,1.54682795891402,"Pfeiler","2015-06-28",NA,NA,"Veratrum californicum","Not yet flowering.",NA,NA,NA,"1899-12-31 11:50:00",NA,NA,NA,NA,NA,298,"RMBL_2015",6
"plipo5",NA,"Coolers:","Tblock","C",19,FALSE,NA,"10:42:10",55.5,NA,NA,0,6,1,18.486,17.44,19.01,399.521,385.144,6.28,10.625,20.664,34.961,499.94,1499.7,200,70.27,-3.08,0.17,1,-0.22,2.74,1,0,0.16,111115,15,2062.25,NA,NA,NA,NA,1.42,1.4258259263092,18.0874197475918,0.00626174511087749,290.59,291.636,239.952,-0.300025306813736,17.44,1.99945247873488,28.4538562506742,17.8288562506742,17.963,2.06646317171032,0.344351536160512,0.74661875,1.31984442171032,2.84,0.391865452533405,0.219037483331181,292.875581517525,20.5803671132365,0.760431285444396,43.8412714454203,376.546106810124,0.0210592199460092,6.26174511087749,1.25283372873488,"Pfeiler","2015-06-29",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 09:04:00",NA,NA,NA,NA,NA,308,"RMBL_2015",3.506318624
"rvaoc2",NA,"Coolers:","Tblock","C",12,FALSE,NA,"17:04:28",25.5,NA,NA,0,6,1,13.916,17.272,11.95,399.39,377.518,2.7708,7.7199,12.71,35.413,499.92,1500,299.5,73.19,-0.293,0.299,1,-0.22,2.74,1,0,0.16,111115,15,1106.25,NA,NA,NA,NA,1.42,0.8332,16.6549077269117,0.00415567148507449,290.422,287.066,240,0.26237090300519,17.272,1.97833544049908,27.0301330851084,19.3102330851084,15.594,1.77791937729658,0.211466510794552,0.565019481,1.21289989629658,2.84,0.228479076013753,0.133596537573892,243.198195462103,17.7996759258713,0.64420287104718,32.710596236182,369.601054425588,0.0147400003389843,4.15567148507449,1.41331595949908,"Road","2015-06-25",NA,NA,"Valeriana occidentalis",NA,NA,NA,NA,"1899-12-31 03:40:00",NA,NA,NA,NA,NA,324,"RMBL_2015",6
"plipo5",NA,"Coolers:","Tblock","C",24,FALSE,NA,"10:44:41",70.5,NA,NA,0,6,1,22.645,19.548,24.09,399.611,385.191,9.4688,13.886,24.108,35.355,500.04,1500,203,70.26,-2.93,0.122,1,-0.22,2.74,1,0,0.16,111115,15,2214.25,NA,NA,NA,NA,1.42,1.42611112571839,18.1038721293583,0.00638812356341486,292.698,295.795,240,-0.0920816473620384,19.548,2.28173153131996,32.4755412940501,18.5895412940501,21.0965,2.51077263262636,0.335675261237818,0.97563036,1.53514227262636,2.84,0.380668650709631,0.213423232677655,290.256255453639,20.3934045081727,0.753538471159384,48.3262234362631,376.585286135692,0.0232322737174844,6.38812356341486,1.30610117131996,"Pfeiler","2015-06-29",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 09:04:00",NA,NA,NA,NA,NA,308,"RMBL_2015",3.506318624
"rcup4",NA,"Coolers:","Tblock","C",15,FALSE,NA,"10:15:01",40.5,NA,NA,0,6,1,15.61,16.223,15.1,400.951,384.638,3.3302,8.7497,13.742,36.107,500.06,1500,12,73.45,-2.6,0.22,1,-0.22,2.74,1,0,0.16,111115,15,1533.75,NA,NA,NA,NA,1.42,0.833433333333333,11.8431310184705,0.00455666144013367,289.373,288.76,240,0.391596648779353,16.223,1.85085125824825,25.1987918073281,16.4490918073281,15.9165,1.8149911762622,0.272313872773056,0.642665465,1.1723257112622,2.84,0.301193904523025,0.172574855042085,306.882530179624,22.5405218416934,0.797847661827677,39.9627353908661,379.008342649671,0.0124874350590162,4.55666144013367,1.20818579324825,"Road","2015-06-27",NA,NA,"Veratrum californicum",NA,NA,NA,NA,"1899-12-31 08:43:00",NA,NA,NA,NA,NA,318,"RMBL_2015",6
"062316-stm-vaoc6",NA,"Coolers:","Tblock","C",10,FALSE,NA,"15:15:27",40.5,NA,NA,0,6,1,11.3,15.314,10.02,400.037,384.144,3.655,7.1508,19.875,38.887,499.95,1699,5.9,73.076,-2.58,0.0943,1,-0.22,2.74,1,0,0.16,111115,15,675.85,NA,NA,NA,NA,1.42,0.83325,12.1158232576888,0.00293385490048875,288.464,284.45,271.84,1.22158225950367,15.314,1.74627512915636,23.8967002290078,16.7459002290078,13.307,1.53356701601181,0.172478915566072,0.522551845,1.01101517101181,2.84,0.183631218994077,0.108748724055576,263.989600122588,19.2913061589661,0.687215190977038,33.1418025789766,378.384717817648,0.0106119265785644,2.93385490048875,1.22372328415636,"CBT","2016-06-23",NA,NA,"Valerium","curve not great",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"RMBL_2016",6
"pbchan2",NA,"Coolers:","Tblock","C",18,FALSE,NA,"12:28:03",52.5,NA,NA,0,6,1,17.947,17.48,18.02,400.909,369.629,1.0517,11.0102,3.486,36.491,499.92,1500,162.6,68.41,-0.635,0.197,1,-0.22,2.74,1,0,0.16,111115,15,1476.25,NA,NA,NA,NA,1.42,0.8332,22.961383198709,0.00838979580127459,290.63,291.097,240,-1.49627193548004,17.48,2.00450966064472,29.3014129607473,18.2912129607473,17.7135,2.03425368577198,0.449434149903262,0.753207782,1.28104590377198,2.84,0.533929253439491,0.287435104849321,280.260652177503,19.172631215463,0.758221459498665,46.3735284818671,358.714257986529,0.029683828302256,8.38979580127459,1.25130187864472,"Painter Boy","2015-07-02",NA,NA,"Chamerion angustifolium","Note RH of first measurement.",NA,NA,NA,"1899-12-31 10:50:00",NA,NA,NA,NA,NA,289,"RMBL_2015",6
"plipo4",NA,"Coolers:","Tblock","C",17,FALSE,NA,"16:07:24",40.5,NA,NA,0,6,1,17.307,18.289,17.03,401.353,396.808,9.1992,10.031,32.559,35.506,499.92,1499,94.5,70.18,-3.52,0.284,1,-0.22,2.74,1,0,0.16,111115,15,581.4,NA,NA,NA,NA,1.42,4.26570777324,17.9654230454264,0.00358416829154215,291.439,290.457,239.84,0.85298103446676,18.289,2.1092222777936,30.0544639184041,20.0234639184041,17.798,2.04511241927862,0.175410769239209,0.70397558,1.34113683927862,2.84,0.186958146980802,0.110613831907029,224.326829432716,15.743256889588,0.565329139660264,36.2125850701864,388.268098200237,0.016755881999545,3.58416829154215,1.4052466977936,"Pfeiler","2015-06-28",NA,NA,"Ligusticum porteri","Lots of psyn oscillation.  So cleaned gaskets and restarted.",NA,NA,NA,"1899-12-31 02:10:00",NA,NA,NA,NA,NA,307,"RMBL_2015",1.171950885
"062216-stm-bro1",NA,"Coolers:","Tblock","C",20,FALSE,NA,"17:37:19",78.5,NA,NA,0,6,1,19.699,19.463,19.98,399.671,383.846,6.8743,11.1948,21.807,35.511,200.26,1699,1.7,73.06,12.1,-0.0329,1,-0.22,2.74,1,0,0.16,111115,15,4008.25,NA,NA,NA,NA,1.42,0.880263736263736,12.4538197492948,0.00384623697599153,292.613,292.849,271.84,1.25049554695361,19.463,2.26970657903624,31.06633697011,19.87153697011,19.581,2.28641382806098,0.18946527302455,0.817892088,1.46852174006098,2.84,0.203008625938019,0.119562401514412,269.18022578244,19.6663072956651,0.701271446656641,39.0137732549672,377.926050471286,0.0128562106018618,3.84623697599153,1.45181449103624,"CBT","2016-06-23",NA,NA,"Bromus","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"RMBL_2016",2.275
"062416-stm-shrub2",NA,"Coolers:","Tblock","C",10,FALSE,NA,"18:03:38",40.5,NA,NA,0,6,1,11.51,15.207,10.01,398.596,382.845,4.2309,7.1984,22.624,38.495,300.11,1699,28,72.89,-3.56,0.105,1,-0.22,2.74,1,0,0.16,111115,15,1311.25,NA,NA,NA,NA,1.42,0.711329698980801,10.3901579836091,0.00212617598330943,288.357,284.66,271.84,1.68754300561196,15.207,1.73431289394093,23.7935641918086,16.5951641918086,13.3585,1.5387261660814,0.12613501393601,0.524691376,1.0140347900814,2.84,0.131997522973838,0.0793409343771452,243.49665596315,17.748471253154,0.636018889495501,32.3022346167877,377.906016451453,0.00888118268287278,2.12617598330943,1.20962151794093,"CBT","2016-06-25",NA,NA,"CBT shrub","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"RMBL_2016",4.219
"rpoga1",NA,"Coolers:","Tblock","C",19,FALSE,NA,"10:40:35",40.5,NA,NA,0,6,1,19.367,19.377,19,399.981,377.124,3.1119,10.8858,10.11,35.363,499.94,1499,29.1,73.3,-1.22,0.207,1,-0.22,2.74,1,0,0.16,111115,15,1438.35,NA,NA,NA,NA,1.42,1.18597880263653,23.5926900712769,0.00932114873701696,292.527,292.517,239.84,-2.045130832757,19.377,2.25759755481201,30.7994209387723,19.9136209387723,19.372,2.25689522947108,0.458323216116846,0.79792914,1.45896608947108,2.84,0.546521693310913,0.293255114008531,286.132023914728,20.9734773529495,0.758721324696419,44.6242481390979,365.909164930907,0.0287723259501113,9.32114873701696,1.45966841481201,"Road","2015-06-26",NA,NA,"Potentilla gracilis",NA,NA,NA,NA,"1899-12-31 09:10:00",NA,NA,NA,NA,NA,319,"RMBL_2015",4.215421042
"plipo4",NA,"Coolers:","Tblock","C",12,FALSE,NA,"16:03:28",25.5,NA,NA,0,6,1,13.34,15.965,11.95,399.615,394.525,6.7319,7.8173,30.746,35.703,499.95,1500.9,91,70.18,-3.21,0.293,0.76,-0.22,2.74,1,0,0.16,111115,15,345.75,NA,NA,NA,NA,1.42,4.26596375666374,19.8725941275717,0.00466675879335233,289.115,286.49,240.144,0.0884130006475634,15.965,1.82062470420773,25.9422157909337,18.1249157909337,14.6525,1.67346956003109,0.253131643377634,0.548618114,1.12485144603109,2.84,0.277901310927569,0.160260632743595,260.979261422114,18.315524566604,0.661503220017409,35.2681143059329,385.078520397105,0.0182008789640786,4.66675879335233,1.27200659020773,"Pfeiler","2015-06-28",NA,NA,"Ligusticum porteri","Lots of psyn oscillation.  So cleaned gaskets and restarted.",NA,NA,NA,"1899-12-31 02:10:00",NA,NA,NA,NA,NA,307,"RMBL_2015",1.171950885
"062316-stm-vaoc5",NA,"Coolers:","Tblock","C",20,FALSE,NA,"11:36:07",70.5,NA,NA,0,6,1,19.542,19.732,19.987,399.662,380.382,5.6686,11.2127,18.188,35.976,350.54,1700,6,73.18,-3.45,0.0299,1,-0.22,2.74,1,0,0.16,111115,15,2410.45,NA,NA,NA,NA,1.42,0.584915735024195,10.0296741846565,0.00327960452511118,292.882,292.692,272,1.49514664527189,19.732,2.30795069537296,31.5379980236808,20.3252980236808,19.637,2.29438036499143,0.157906775864775,0.820545386,1.47383497899143,2.84,0.167203452797408,0.099486898050986,268.86664794644,19.6756612967204,0.706833253308959,37.8069058943914,375.614373186871,0.0100952176556616,3.27960452511118,1.48740530937296,"CBT","2016-06-23",NA,NA,"Valerium","bad",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"RMBL_2016",5.993
"plipo3",NA,"Coolers:","Tblock","C",16,FALSE,NA,"12:11:01",43.5,NA,NA,0,6,1,16.96,18.844,16.051,400.214,396.135,9.055,9.6811,32.817,35.086,499.81,1500.4,166.1,70.29,-1.43,0.37,0.7,-0.22,2.74,1,0,0.16,111115,18,1760.05,NA,NA,NA,NA,1.42,2.38707053743338,9.13903893799612,0.00150915496865192,291.994,290.11,240.064,1.83350277108021,18.844,2.18380487620736,31.0685001594445,21.3874001594445,17.902,2.05854712390603,0.0691250466034379,0.680484519,1.37806260490603,2.84,0.0708495353953968,0.0433548482524996,175.361929662407,12.3261900359706,0.442687566753744,31.4391254739855,391.790738532995,0.00733356903015531,1.50915496865192,1.50332035720736,"Pfeiler","2015-06-28",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 10:35:00",NA,NA,NA,NA,NA,306,"RMBL_2015",2.093821662
"063016-stm-ger1",NA,"Coolers:","Tblock","C",10,FALSE,NA,"15:49:01",40.5,NA,NA,0,6,1,10.966,15.377,10.025,400.675,385.582,4.1401,6.5871,22.994,36.585,400.1,1699,4.7,73.01,1.51,0.0379,1,-0.22,2.74,1,0,0.16,111115,15,566.75,NA,NA,NA,NA,1.42,0.743403939056113,10.5141288637767,0.00183117154966764,288.527,284.116,271.84,1.75748777251021,15.377,1.75335115066164,24.0152191571242,17.4281191571242,13.1715,1.52006515804427,0.103462345090072,0.480924171,1.03914098704427,2.84,0.107374028297472,0.065004385570391,215.371684831455,15.7242867095445,0.558562463728572,28.9860656901127,380.584086631655,0.00800775914778156,1.83117154966764,1.27242697966164,"Road","2016-06-29",NA,NA,"Geranium","good; plant wilted",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"RMBL_2016",5.382
"pbcup2",NA,"Coolers:","Tblock","C",14,FALSE,NA,"11:34:32",40.5,NA,NA,0,6,1,14.863,17.473,14.11,399.591,381.41,3.5093,9.4294,14.16,38.049,499.98,1499,255.6,68.45,-2.79,0.211,1,-0.22,2.74,1,0,0.16,111115,15,700.25,NA,NA,NA,NA,1.42,0.8333,13.2507370862791,0.0049801795493748,290.623,288.013,239.84,-0.0840506091948317,17.473,2.00362368678531,29.2713467755341,19.8419467755341,16.168,1.84437102968998,0.246135653942104,0.64544243,1.19892859968998,2.84,0.269491839188086,0.15577550561914,285.683432571503,19.5550309595194,0.749019229972345,36.8669692813638,375.111234131522,0.0130231962108529,4.9801795493748,1.35818125678531,"Painter Boy","2015-07-01",NA,NA,"Veratrum californicum",NA,NA,NA,NA,"1899-12-31 10:05:00",NA,NA,NA,NA,NA,292,"RMBL_2015",6
"as1",NA,"Coolers:","Tblock","C",47.43,FALSE,NA,"23:59:11",10.5,21060205,1,0,6,1,14.75,19.504,12.855,400.034,396.704,7.3923,8.1633,33.479,36.97,500,1497.1,1837.4,76.27,1.52,0.32,1,-0.22,2.74,1,0,0.16,111115,30,NA,NA,NA,NA,NA,1.42,8.42113428289696,25.4455005544013,0.00654613258904643,292.654,287.9,239.536,-1.18462309860994,19.504,2.27549943260473,29.8347899908841,21.6714899908841,17.127,1.96026701033436,0.296323270295183,0.622614891,1.33765211933436,2.84,0.33084332576792,0.188022152498443,250.108225229149,19.0757543382272,0.630468683166115,33.6807019769046,384.608427553366,0.0222833888238688,6.54613258904643,1.65288454160473,"Almont","2015-06-17",NA,NA,"Artemisia tridentata",NA,NA,NA,NA,"1899-12-31 10:30:00",NA,NA,NA,NA,NA,163,"RMBL_2015",0.593744243
