UniqueID,T_amb,T_setpoint,T_block,T_air,T_leaf,T_air_below,T_air_above,T_leaf_below,T_leaf_above,Licor_Type,Licor_name,Species,Flow,PAR,Date,Notes
3,21.03,40,40.06,38.16,36.18,36.6,32.34,35.8,34.79,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.76,45,45.13,42.77,39.89,40.65,35,39.02,37.86,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.68,50,49.81,46.85,42.7,44.15,37.15,41.64,40.32,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
4,20.23,0,1.5,4.62,10.38,8.41,10.96,,,6400,Guy,Empty,200,1600,10-01-2022,
4,20.26,5,5.09,7.59,12.33,10.85,13.04,,,6400,Guy,Empty,200,1600,10-01-2022,
4,20.6,10,9.97,11.93,15.61,14.6,16.44,,,6400,Guy,Empty,200,1600,10-01-2022,
4,20.37,15,15.04,16.31,18.66,18.14,19.5,,,6400,Guy,Empty,200,1600,10-01-2022,
4,20.49,20,20.11,20.72,21.79,21.82,22.62,,,6400,Guy,Empty,200,1600,10-01-2022,
4,20.73,25,25,25.01,24.75,25.35,25.62,,,6400,Guy,Empty,200,1600,10-01-2022,
4,20.66,30,30.07,29.45,27.74,28.98,28.69,,,6400,Guy,Empty,200,1600,10-01-2022,
4,20.7,35,35.15,33.85,30.53,32.52,31.59,,,6400,Guy,Empty,200,1600,10-01-2022,
4,21.25,40,40.02,38.3,33.64,36.23,34.68,,,6400,Guy,Empty,200,1600,10-01-2022,
4,21.16,45,45.09,42.75,36.17,39.9,37.57,,,6400,Guy,Empty,200,1600,10-01-2022,
4,21.19,50,49.77,47,38.84,43.48,40.44,,,6400,Guy,Empty,200,1600,10-01-2022,
5,20.17,0,1.63,4.62,12.3,7.19,13.7,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.17,5,5.09,7.57,14.2,9.87,15.44,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.21,10,9.97,11.79,17.15,13.57,17.89,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.19,15,15.03,16.2,20.09,17.43,20.52,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.39,20,20.11,20.71,23.11,21.41,23.18,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.44,25,25,24.99,25.94,25.17,25.66,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.4,30,30.08,29.42,28.79,28.94,28.17,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.81,35,35.15,33.84,31.47,32.67,30.57,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.67,40,40.02,38.37,34.71,36.79,33.45,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,21.11,45,45.09,42.78,37.08,40.54,35.77,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
5,20.72,50,49.77,47.09,39.7,44.47,38.48,,,6400,Guy,Thuja plicata,200,1600,10-01-2022,"No photo, No cond"
6,20.25,0,1.66,4.62,9.72,7.89,13.53,13.42,13.61,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_1; LEAF BROKE INCOMPLETE CURVE"
6,20.25,5,5.1,7.49,11.62,10.22,15.19,15.17,15.31,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_1; LEAF BROKE INCOMPLETE CURVE"
6,20.36,10,9.97,11.71,15.16,13.87,17.7,17.99,18.02,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_1; LEAF BROKE INCOMPLETE CURVE"
6,20.53,15,15.04,16.2,18.61,17.72,20.28,20.93,20.89,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_1; LEAF BROKE INCOMPLETE CURVE"
6,20.55,20,20.11,20.65,22.04,21.51,22.89,23.77,23.64,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_1; LEAF BROKE INCOMPLETE CURVE"
7,20.33,0,1.81,4.803,10.91,8.09,15.38,13.98,14.21,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.4,5,5.09,7.489,12.65,10.27,16.66,15.61,15.84,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.51,10,9.971,11.73,16.06,14.02,18.97,18.45,18.72,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.56,15,15.04,16.09,19.32,17.71,21.17,21.23,21.54,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.55,20,20.11,20.7,23.02,21.76,23.67,24.33,24.69,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.62,25,25,24.68,26.23,25.4,25.88,27.13,27.52,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.56,30,30.07,29.41,29.47,29.1,28.06,29.93,30.33,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.93,35,35.12,33.98,32.96,33.02,30.45,32.95,33.35,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.65,40,40.01,38.25,35.8,36.51,32.46,35.58,35.95,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.81,45,45.09,42.92,39.23,40.64,35.05,38.84,39.1,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
7,20.82,50,49.77,47.02,41.59,44.08,37.03,41.35,41.63,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
8,20.33,0,1.69,4.71,10.32,8.23,13.72,11.61,13.53,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.13,5,5.09,7.5,12.02,10.42,15.17,13.24,15.08,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.16,10,9.97,11.69,15.37,13.96,17.5,16.1,17.87,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.42,15,15.04,16.22,18.85,17.91,20.24,19.34,20.96,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.35,20,20.11,20.64,22.05,21.57,22.76,22.29,23.62,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.34,25,25,24.92,25.1,25.13,25.23,25.18,26.23,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.43,30,30.08,29.37,28.21,28.78,27.78,28.21,28.89,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.39,35,35.15,33.79,31.04,32.28,30.26,31.1,31.29,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.55,40,40.02,38.24,34.22,36.03,33.03,34.34,34,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.68,45,45.09,42.7,36.7,39.62,35.44,37.26,36.44,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
8,20.69,50,49.77,47.01,39.26,43.31,38.4,40.41,39.11,6400,Guy,Raphanus sativus,200,1600,11-01-2022,"Photo, cond OK; logifle jcg_rasa_2; T_leaf_below was DETACHED."
9,20.2,0,0.64,3.79,10.24,6.89,12.75,11.22,11.64,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.25,5,4.96,7.4,12.8,9.97,12.83,13.61,14.02,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.16,10,10.03,11.57,15.59,13.32,17.1,16.17,16.59,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.4,15,15.1,16.16,19.05,17.52,19.92,19.57,19.88,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.44,20,19.97,20.45,22.03,21.22,22.39,22.41,22.63,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.48,25,25.04,24.82,24.87,24.84,24.78,25.14,25.25,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.47,30,30.12,29.23,27.64,28.51,27.23,27.86,27.8,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.49,35,34.99,33.46,30.09,31.94,29.56,30.35,30.08,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.57,40,40.06,37.93,32.55,35.64,32.05,32.97,32.52,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.66,45,45.13,42.51,34.85,39.48,34.71,35.67,35.1,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
9,20.67,50,49.81,46.79,36.8,43.08,37.48,38.17,37.51,6400,Angert,Raphanus sativus,200,1600,12-01-2022,"Photo, cond OK; logfile jcg_rasa_3"
10,,,5.53,13.71,14.94,14.17,14.18,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,12,17.7,18.92,18.05,18.72,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,16,20.33,21.52,20.62,21.29,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,20,22.95,24.12,23.17,23.79,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,24,25.85,26.99,25.88,26.5,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,28,28.52,29.61,28.48,29.95,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,32,31.18,32.22,30.99,31.66,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,36,34.14,35.14,33.38,34.57,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,40,36.47,37.43,36.13,36.9,,,6800,Pennell,Empty,200,1600,12-12-2019,
10,,,44,38.84,39.72,38.37,39.12,,,6800,Pennell,Empty,200,1600,12-12-2019,
11,,,5.09,13.51,13.58,12.39,14.63,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,12,17.77,17.73,16.62,18.77,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,16,20.59,20.5,19.46,21.56,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,20,23.41,23.26,22.29,24.33,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,24,26.39,26.2,25.27,27.24,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,28,29.24,28.98,28.11,30.08,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,32,32.04,31.7,30.87,32.83,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,36,34.82,34.39,33.62,35.53,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,40,37.58,37.01,36.31,38.24,,,6800,Pennell,Paper,200,1600,13-12-2019,
11,,,44,39.88,39.06,38.53,40.5,,,6800,Pennell,Paper,200,1600,13-12-2019,
12,,,6.05,14.33,15.33,13.46,15.58,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,12,17.86,18.62,16.93,18.91,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,16,20.38,21.03,19.46,21.28,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,20,23.13,23.68,22.16,23.91,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,24,26.01,26.46,25.04,26.69,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,28,28.76,29.11,27.77,29.31,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,32,31.49,31.69,30.48,31.92,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,36,34.08,34.16,32.96,34.33,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,40,36.69,36.62,35.49,36.78,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
12,,,44,39.32,39.13,38.05,39.28,,,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020,
13,,,8.65,16.85,18.51,16.3,17.45,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,12,18.53,20.08,18.05,19.2,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,16,21.12,22.55,20.67,21.79,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,20,23.71,25.04,23.27,24.32,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,24,26.36,27.57,25.91,27.02,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,28,29.12,30.2,28.67,29.76,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,32,31.69,32.62,31.18,32.27,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,36,34.33,35.11,33.75,34.84,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,40,37.09,37.75,36.57,37.55,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
13,,,44,40.25,40.71,39.52,40.54,,,6800,Pennell,Thuja plicata,200,1600,21-01-2020,
14,,,8.7,15.63,15.6,14.91,15.4,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,12,17.78,17.72,16.98,17.6,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,16,20.59,20.47,19.7,20.49,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,20,23.46,23.25,22.45,23.39,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,24,26.42,26.07,25.23,26.38,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,28,29.36,28.91,27.99,29.38,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,32,32.27,31.71,30.71,32.34,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,36,35.17,34.5,33.4,35.27,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,40,38,37.24,36.05,38.16,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
14,,,44,40.86,39.99,38.74,41.07,,,6800,Michaletz 1,Gaultheria shallon,200,1600,14-05-2020,
15,,,8.43,15.26,14.93,14.43,15.03,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,12,17.5,17.08,16.69,17.35,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,16,20.36,19.85,19.73,20.2,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,20,23.33,22.74,22.66,23.16,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,24,26.34,25.7,25.38,26.21,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,28,29.21,28.5,28.21,29.21,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,32,32.17,31.4,31.21,32.16,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,36,35.07,34.19,33.98,35.08,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,40,38.01,37.04,36.75,38.05,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
15,,,44,40.89,39.8,39.37,40.97,,,6800,Michaletz 1,Paper,200,1600,25-05-2020,
16,,,7.61,13.48,13.77,13.86,13.82,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,12,16.41,16.7,16.84,16.66,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,16,19.49,19.79,19.87,19.7,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,20,22.69,22.98,22.91,22.84,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,24,25.93,26.2,25.95,26.02,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,28,28.89,29.19,28.93,29.01,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,32,31.76,32.06,31.6,31.83,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,36,34.48,34.73,34.1,34.5,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,40,37.35,37.59,36.8,37.37,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
16,,,44,40.17,40.4,39.46,40.17,,,6800,Michaletz 1,Empty,200,1600,25-05-2020,
17,,,6.72,13.38,14.08,12.66,13.52,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,10,15.84,16.5,15.11,15.94,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,14,18.81,19.36,18.03,18.86,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,18,21.78,22.25,20.94,21.78,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,22,24.58,24.98,23.72,24.58,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,26,27.74,28.1,26.73,27.6,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,30,30.71,30.99,29.63,30.55,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,34,33.57,33.73,32.36,33.34,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,38,36.49,36.61,35.2,36.27,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,42,39.35,39.33,37.88,39.06,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
17,,,46,42.24,41.91,40.67,41.91,,,6800,Michaletz 1,Thuja plicata,200,1600,26-05-2020,
